#{"t_start": 1620417643.3996675, "env_id": "procgen-fruitbot-v0"}
r,l,t
-3.0,80,2.251856
2.0,65,2.459638
-4.0,80,2.698386
-8.0,80,2.939661
0.0,65,3.126367
-4.0,80,3.362786
2.0,87,3.616039
-4.0,78,3.855148
-4.0,101,4.154566
-3.0,80,4.386864
-3.0,51,4.538787
-4.0,58,4.708049
0.0,51,4.851288
-4.0,51,5.065857
2.0,65,5.335351
-2.0,65,5.650737
0.0,72,5.998563
-16.0,108,6.520487
-6.0,80,6.818969
1.0,101,7.266374
-5.0,159,7.976675
0.0,72,8.347596
-4.0,51,8.531362
-2.0,106,9.038921
-8.0,72,9.289928
0.0,85,9.77414
-8.0,65,10.016938
-3.0,72,10.341417
2.0,87,10.707777
0.0,51,10.915444
-2.0,80,11.301308
-8.0,65,11.567598
-7.0,153,12.2694
0.0,51,12.510491
-8.0,80,12.913639
-4.0,202,13.746384
0.0,44,13.897711
0.0,72,14.240425
-3.0,159,14.946001
0.0,44,15.14549
-3.0,58,15.384776
0.0,44,15.545245
-3.0,87,15.890126
-3.0,159,16.572148
3.0,65,16.874978
-4.0,72,17.165363
0.0,51,17.372517
0.0,87,17.682087
2.0,72,18.024689
-7.0,173,18.809834
2.0,66,19.181619
-8.0,65,19.437716
-12.0,58,19.713508
3.0,94,20.043949
0.0,51,20.342152
0.0,80,20.679893
-4.0,51,20.890362
0.0,72,21.199799
-7.0,72,21.528371
-3.0,87,21.879555
-5.0,149,22.536023
-7.0,72,22.810671
0.0,72,23.130965
-8.0,87,23.481432
0.0,58,23.758931
-2.0,58,24.018041
-7.0,159,24.676759
0.0,72,24.915422
-7.0,65,25.260899
-4.0,80,25.601627
3.0,87,25.995361
1.0,44,26.19838
0.0,65,26.479741
1.0,44,26.652052
-3.0,65,26.943866
0.0,130,27.483867
-8.0,152,28.151151
0.0,51,28.396001
0.0,72,28.672478
1.0,51,28.962732
-7.0,72,29.259184
0.0,58,29.538626
-4.0,80,29.926898
0.0,51,30.136887
1.0,44,30.337392
0.0,72,30.664669
0.0,65,30.9278
1.0,101,31.411403
0.0,72,31.671889
-3.0,94,32.074932
0.0,72,32.442931
0.0,72,32.729079
3.0,72,33.059086
0.0,58,33.312681
0.0,72,33.636345
-3.0,87,34.032285
0.0,72,34.317821
-4.0,94,34.74773
1.0,80,35.109258
3.0,144,35.789294
-4.0,51,36.05394
-4.0,80,36.37203
0.0,87,36.701665
1.0,51,36.914229
3.0,87,37.226956
0.0,65,37.493301
2.0,72,37.836325
-2.0,159,38.479162
0.0,58,38.714672
0.0,65,38.923351
-4.0,51,39.160948
0.0,94,39.500504
2.0,59,39.731329
-3.0,87,40.11575
-1.0,58,40.387834
2.0,94,40.778806
1.0,72,41.139115
-3.0,130,41.678149
-3.0,94,42.087998
0.0,80,42.384744
0.0,72,42.655832
1.0,72,42.929059
-3.0,87,43.312948
0.0,58,43.555385
-4.0,44,43.724036
-4.0,65,44.035939
2.0,72,44.406443
0.0,58,44.64824
1.0,108,45.146858
0.0,58,45.486626
0.0,87,45.894486
-3.0,94,46.383765
-4.0,94,46.776191
2.0,80,47.075487
2.0,91,47.509779
-3.0,80,47.821341
0.0,59,48.023541
1.0,65,48.260266
0.0,58,48.527655
-8.0,72,48.855424
2.0,51,49.082082
0.0,65,49.37145
0.0,44,49.571897
1.0,65,49.804382
-8.0,85,50.159756
-4.0,87,50.585009
0.0,108,51.061957
-7.0,72,51.397238
0.0,87,51.713242
1.0,173,52.441003
1.0,44,52.609645
0.0,58,52.904344
0.0,58,53.197645
0.0,80,53.59988
-1.0,188,54.370397
-8.0,72,54.707152
1.0,108,55.196949
-7.0,159,55.898569
0.0,80,56.24208
1.0,72,56.529123
-4.0,130,57.03393
0.0,65,57.335238
-7.0,87,57.753383
0.0,44,57.928611
-3.0,87,58.321966
1.0,94,58.739667
3.0,166,59.362774
1.0,80,59.680055
-4.0,80,59.986998
3.0,58,60.304818
1.0,44,60.503761
-3.0,87,60.86197
0.0,44,61.052828
-4.0,58,61.281631
0.0,108,61.819054
-6.0,94,62.237034
0.0,72,62.516467
-4.0,108,63.014246
0.0,58,63.273927
1.0,72,63.573792
2.0,94,63.969078
-2.0,159,64.669347
-4.0,94,65.082053
0.0,108,65.540736
0.0,80,65.850052
-4.0,44,66.020483
-3.0,94,66.421196
0.0,72,66.803766
0.0,72,67.136544
0.0,72,67.426558
2.0,108,67.872142
-3.0,87,68.271034
0.0,87,68.627424
-3.0,72,68.897428
0.0,58,69.117981
0.0,51,69.352848
-4.0,80,69.681838
-9.0,310,70.977367
0.0,94,71.355247
-7.0,72,71.739844
0.0,58,71.96567
-8.0,72,72.297803
1.0,51,72.511381
-2.0,231,73.478033
1.0,123,73.987436
-4.0,80,74.285101
-12.0,152,74.898089
-3.0,324,76.166546
1.0,123,76.616552
-3.0,58,76.875051
1.0,65,77.189483
-8.0,245,78.234794
-12.0,152,78.936836
-7.0,245,80.021323
-2.0,144,80.592474
0.0,80,80.884
-7.0,144,81.484262
0.0,44,81.680251
-4.0,80,82.042812
-4.0,101,82.451859
-2.0,231,83.350362
0.0,58,83.600747
-2.0,159,84.262205
1.0,123,84.738173
0.0,108,85.205199
-6.0,223,86.160974
-7.0,324,87.638148
-3.0,94,87.984659
-7.0,144,88.59028
-2.0,159,89.205848
0.0,130,89.785987
1.0,101,90.244053
2.0,72,90.542406
1.0,123,91.079992
-7.0,72,91.361969
1.0,44,91.566428
0.0,72,91.844854
-15.0,209,92.716633
-3.0,87,93.056484
2.0,94,93.457439
1.0,58,93.700167
1.0,51,93.902186
-1.0,159,94.547671
0.0,51,94.762042
-8.0,108,95.237441
-15.0,259,96.302778
0.0,51,96.503531
1.0,99,96.908157
-4.0,87,97.296161
-7.0,108,97.726398
0.0,72,98.055543
1.0,107,98.482236
-2.0,137,99.047413
-2.0,58,99.317694
-4.0,51,99.505661
-8.0,130,100.073503
0.0,72,100.39125
-8.0,152,101.021942
-2.0,78,101.390663
1.0,51,101.635187
0.0,51,101.837239
-7.0,80,102.187798
3.0,70,102.464977
2.0,101,102.894316
-4.0,58,103.175067
0.0,80,103.511989
-3.0,91,103.86815
-1.0,87,104.298371
0.0,65,104.606327
-4.0,67,104.876961
-4.0,59,105.088962
0.0,84,105.429919
-3.0,80,105.81927
-8.0,44,106.011175
-4.0,72,106.377438
-8.0,72,106.641301
0.0,51,106.828765
0.0,72,107.17881
1.0,72,107.489752
4.0,137,108.048362
0.0,80,108.424936
0.0,65,108.7131
1.0,65,108.996181
0.0,58,109.226109
1.0,123,109.734878
2.0,72,110.016666
0.0,44,110.211149
-4.0,65,110.449317
-3.0,72,110.74403
-3.0,87,111.104605
-1.0,94,111.495949
-4.0,65,111.75573
2.0,101,112.157141
-4.0,51,112.423308
1.0,44,112.637376
-3.0,80,112.972495
-4.0,65,113.244544
-4.0,65,113.492829
-11.0,87,113.823097
-4.0,65,114.085369
0.0,44,114.272828
-2.0,72,114.607515
-2.0,72,114.99736
0.0,44,115.20566
-9.0,87,115.612689
-7.0,72,115.91149
-7.0,137,116.446222
-4.0,65,116.696427
-7.0,144,117.29978
-3.0,51,117.574457
-4.0,65,117.848054
0.0,58,118.082417
0.0,72,118.408837
-4.0,58,118.644381
-1.0,159,119.321975
-7.0,72,119.627313
0.0,58,119.895664
0.0,80,120.244553
0.0,65,120.515147
1.0,51,120.722191
2.0,94,121.206694
1.0,94,121.583666
1.0,72,121.934392
1.0,101,122.442617
-3.0,44,122.592067
-4.0,58,122.858026
1.0,80,123.166383
-4.0,80,123.511187
2.0,65,123.796494
-4.0,65,124.101275
0.0,72,124.379079
0.0,51,124.670069
-4.0,58,124.898494
0.0,44,125.091404
-4.0,51,125.26127
0.0,87,125.653724
3.0,159,126.414217
1.0,72,126.745006
2.0,94,127.187802
-2.0,94,127.623776
0.0,87,127.958812
-3.0,51,128.216631
-2.0,94,128.579024
-3.0,72,128.891715
1.0,65,129.174172
0.0,58,129.414156
1.0,94,129.846345
2.0,65,130.150307
0.0,72,130.468885
-3.0,94,130.795467
-3.0,80,131.127361
0.0,87,131.525705
-4.0,58,131.732636
0.0,72,131.951288
-3.0,80,132.317625
1.0,44,132.487513
-4.0,65,132.793407
2.0,72,133.108731
1.0,94,133.515686
-7.0,144,134.122665
-8.0,44,134.289777
-4.0,72,134.628442
0.0,87,135.025936
-3.0,80,135.407032
1.0,58,135.690808
1.0,44,135.88046
1.0,80,136.231282
2.0,159,137.015362
-4.0,94,137.373864
-4.0,88,137.813455
-3.0,87,138.241122
-2.0,231,139.274985
0.0,58,139.514237
1.0,44,139.68397
1.0,65,139.971925
0.0,58,140.171353
-2.0,231,141.172683
1.0,51,141.411018
1.0,65,141.693462
-4.0,80,142.050172
1.0,238,143.104301
1.0,44,143.29043
1.0,65,143.51299
2.0,71,143.773113
0.0,65,144.022449
-1.0,159,144.728715
0.0,65,145.008516
0.0,44,145.187128
-2.0,245,146.293313
-3.0,91,146.691119
-3.0,58,146.944251
1.0,65,147.209822
0.0,72,147.546298
1.0,94,147.990365
-8.0,67,148.23614
0.0,87,148.614771
-4.0,94,149.004567
-2.0,65,149.232024
-4.0,94,149.586872
-8.0,65,149.884234
0.0,80,150.237772
1.0,72,150.516383
-3.0,159,151.241851
-6.0,144,151.76477
-11.0,152,152.483439
1.0,108,152.906424
-3.0,87,153.255416
-4.0,94,153.64179
-6.0,159,154.287442
-7.0,137,154.834236
-3.0,76,155.162475
-4.0,58,155.452697
-7.0,94,155.847097
-4.0,80,156.149741
2.0,87,156.528728
1.0,51,156.712371
0.0,51,156.980146
3.0,72,157.251555
-7.0,44,157.449038
-4.0,87,157.743261
-8.0,94,158.161793
-11.0,231,159.161988
-3.0,144,159.729333
-3.0,80,160.063519
2.0,44,160.287944
1.0,58,160.48927
-7.0,72,160.811524
-4.0,58,161.052751
-3.0,94,161.449833
0.0,51,161.665469
-8.0,152,162.284847
-9.0,188,163.028927
0.0,87,163.391152
1.0,58,163.602664
-11.0,94,164.025534
-5.0,159,164.706057
-3.0,58,165.017374
0.0,65,165.282251
0.0,80,165.642058
-4.0,72,165.983012
-4.0,72,166.26741
-4.0,60,166.534806
-8.0,65,166.858267
-4.0,51,167.052978
0.0,44,167.229249
2.0,65,167.539841
-3.0,58,167.790369
1.0,94,168.184013
1.0,87,168.580971
0.0,65,168.84612
-7.0,94,169.244258
0.0,87,169.604656
-3.0,72,169.864117
2.0,80,170.210822
-4.0,58,170.438561
-2.0,173,171.104121
0.0,65,171.353813
-4.0,87,171.769713
2.0,116,172.252727
1.0,65,172.515108
