#{"t_start": 1620582777.488878, "env_id": "procgen-fruitbot-v0"}
r,l,t
-11.0,80,1.546342
0.0,72,1.70189
-3.0,94,1.909347
-2.0,101,2.761605
-7.0,176,3.342721
-6.0,216,3.778594
0.0,51,4.077749
-3.0,79,4.235736
-8.0,44,4.322748
1.0,108,4.528521
0.0,72,4.859685
2.0,65,5.007818
1.0,65,5.137352
2.0,82,5.491705
0.0,51,5.601526
-3.0,145,5.889644
-2.0,44,6.196302
0.0,101,6.399288
-6.0,72,6.546189
-4.0,80,6.891761
2.0,117,7.138591
-8.0,152,7.73596
-3.0,87,7.914697
-7.0,80,8.098483
2.0,144,8.585053
2.0,69,8.719354
3.0,166,9.236345
-7.0,82,9.392749
0.0,87,9.557488
1.0,65,9.866232
2.0,72,10.0138
0.0,72,10.156651
-4.0,65,10.288218
0.0,51,10.597368
-3.0,94,10.786414
-8.0,65,10.918618
-3.0,94,11.310937
1.0,103,11.518049
-2.0,72,11.658581
1.0,72,11.985252
0.0,94,12.180159
-4.0,51,12.28109
-8.0,94,12.649415
0.0,72,12.794366
-1.0,94,13.043906
-8.0,65,13.171585
0.0,72,13.516927
2.0,101,13.722766
-7.0,44,13.813433
-4.0,58,13.931827
-1.0,71,14.285756
-6.0,72,14.428362
-3.0,94,14.617664
-3.0,72,14.950799
-4.0,58,15.080468
2.0,72,15.23988
-4.0,65,15.372112
-3.0,87,15.747779
-3.0,94,15.937805
0.0,72,16.088335
-2.0,72,16.424489
-7.0,109,16.655113
-1.0,94,17.04779
-4.0,65,17.202345
-4.0,51,17.317407
1.0,51,17.429249
1.0,101,17.828803
-7.0,72,17.979469
0.0,72,18.145112
-4.0,58,18.267401
-4.0,51,18.58582
-3.0,80,18.743453
1.0,65,18.877547
1.0,108,19.295387
-6.0,87,19.460698
-11.0,87,19.629701
-7.0,72,19.964586
2.0,44,20.054781
-7.0,94,20.258547
1.0,51,20.358884
2.0,80,20.726355
1.0,89,20.904594
-6.0,87,21.078427
1.0,108,21.493802
1.0,51,21.600753
-7.0,89,21.770696
-4.0,80,22.14523
2.0,101,22.359352
2.0,94,22.551425
1.0,96,22.938934
0.0,58,23.050957
-2.0,87,23.236828
0.0,72,23.57356
-4.0,65,23.710099
-8.0,65,23.839938
2.0,72,23.985152
-4.0,51,24.293489
1.0,108,24.527373
1.0,72,24.675398
-6.0,79,25.033383
-6.0,97,25.243968
0.0,51,25.350547
2.0,65,25.490506
-2.0,80,25.857239
-4.0,51,25.962629
0.0,80,26.127141
0.0,72,26.288803
-8.0,65,26.615423
0.0,80,26.769372
-3.0,51,26.869282
-4.0,87,27.247607
-4.0,95,27.439238
2.0,72,27.586817
2.0,72,27.734322
0.0,72,28.092591
1.0,101,28.314458
-4.0,58,28.434969
0.0,65,28.771784
2.0,48,28.870899
0.0,58,28.989294
0.0,54,29.100588
-7.0,95,29.505882
1.0,72,29.658594
-3.0,58,29.777726
2.0,65,29.912026
-4.0,72,30.333188
-11.0,94,30.533256
4.0,138,31.011775
1.0,108,31.239064
-2.0,87,31.425769
0.0,44,31.708186
1.0,101,31.909834
2.0,101,32.117841
-4.0,60,32.446956
2.0,87,32.619663
0.0,58,32.738797
1.0,44,32.828879
0.0,80,33.202613
-16.0,108,33.426305
-3.0,80,33.592758
-4.0,94,33.974504
-4.0,51,34.085153
0.0,72,34.234382
-4.0,80,34.402661
-11.0,162,34.920665
1.0,51,35.024002
0.0,58,35.345785
-11.0,87,35.519664
0.0,72,35.679373
-6.0,87,36.057595
1.0,72,36.207034
2.0,80,36.376024
-7.0,81,36.542343
0.0,72,36.880454
-3.0,80,37.042765
0.0,65,37.179457
0.0,51,37.281475
-4.0,58,37.595345
0.0,87,37.771772
2.0,65,37.903317
-6.0,87,38.279725
0.0,72,38.432177
-4.0,65,38.564676
-3.0,72,38.711633
-4.0,94,39.104326
2.0,53,39.217983
-4.0,80,39.386846
-7.0,72,39.728563
2.0,58,39.849385
2.0,101,40.059124
-3.0,102,40.466588
0.0,65,40.601517
0.0,51,40.710138
1.0,44,40.799394
0.0,44,40.885311
-8.0,72,41.22134
0.0,44,41.30701
0.0,72,41.459129
1.0,51,41.613254
2.0,72,41.9528
-3.0,108,42.17937
0.0,72,42.321832
-2.0,51,42.625628
4.0,65,42.759152
2.0,72,42.910707
0.0,58,43.031407
-4.0,58,43.345822
0.0,89,43.522985
-7.0,72,43.660661
2.0,65,43.788447
-4.0,80,44.152279
-2.0,72,44.299107
-7.0,87,44.483322
0.0,72,44.828912
1.0,72,44.976423
-3.0,72,45.12675
0.0,72,45.274246
0.0,58,45.595724
1.0,72,45.745399
0.0,72,45.89665
0.0,44,45.988328
1.0,80,46.348511
0.0,65,46.493834
-4.0,51,46.600123
0.0,58,46.720101
1.0,45,47.004766
-7.0,87,47.182504
0.0,44,47.326062
-4.0,80,47.50397
-11.0,72,47.85796
-8.0,87,48.037165
-3.0,51,48.145478
0.0,58,48.265245
1.0,44,48.552141
1.0,101,48.74335
0.0,72,48.882166
-4.0,65,49.205682
-7.0,72,49.35159
0.0,87,49.544172
-4.0,65,49.674824
-4.0,80,50.026044
-2.0,94,50.222551
0.0,87,50.400992
0.0,72,50.757364
0.0,80,50.9177
1.0,101,51.119366
0.0,72,51.454009
-7.0,80,51.624218
0.0,209,52.230772
-3.0,94,52.415802
1.0,62,52.537892
-3.0,72,52.873232
-2.0,87,53.059407
-8.0,94,53.255808
1.0,117,53.701124
-4.0,65,53.832187
1.0,72,53.976322
0.0,87,54.34526
-4.0,65,54.47665
-3.0,44,54.564362
0.0,51,54.67804
0.0,58,54.989274
-2.0,76,55.146099
-4.0,72,55.290386
-3.0,51,55.395257
-3.0,94,55.80364
-4.0,58,55.923485
-4.0,72,56.067729
1.0,72,56.403762
-12.0,51,56.509123
-4.0,65,56.655015
5.0,59,56.7712
1.0,101,57.163532
2.0,65,57.298596
-3.0,51,57.403132
2.0,101,57.814381
0.0,72,57.960079
0.0,72,58.111416
0.0,44,58.205345
0.0,51,58.30784
0.0,58,58.62632
-3.0,159,58.96234
-4.0,65,59.293558
1.0,44,59.382594
0.0,87,59.561301
-4.0,58,59.682723
0.0,44,59.765607
-6.0,87,60.135855
0.0,51,60.243912
3.0,65,60.375844
-4.0,72,60.721242
3.0,94,60.911193
-4.0,51,61.014479
-3.0,94,61.206567
-3.0,80,61.562618
-11.0,80,61.736975
-4.0,65,61.867734
0.0,72,62.214052
-4.0,65,62.347815
0.0,51,62.455778
1.0,51,62.570575
-3.0,58,62.894239
0.0,58,63.013486
-7.0,51,63.120336
2.0,101,63.337589
0.0,72,63.682726
1.0,72,63.837507
2.0,94,64.025075
-3.0,80,64.401077
-1.0,65,64.536748
0.0,87,64.715991
-2.0,72,64.870236
-4.0,80,65.233965
1.0,108,65.451468
0.0,58,65.568329
-3.0,72,65.921324
-4.0,80,66.081563
-11.0,72,66.230969
-11.0,72,66.5785
-4.0,65,66.709651
0.0,72,66.865526
1.0,51,66.967322
-4.0,80,67.324462
0.0,44,67.413962
0.0,72,67.5603
0.0,72,67.705734
-2.0,80,68.070741
-3.0,65,68.206387
-6.0,87,68.384291
2.0,65,68.710422
2.0,108,68.9323
0.0,44,69.019527
-3.0,51,69.125093
-7.0,87,69.496426
-4.0,51,69.601969
-3.0,88,69.780267
-4.0,80,69.956059
0.0,87,70.33234
-4.0,65,70.465037
1.0,65,70.60126
-4.0,72,70.942272
2.0,101,71.148596
-4.0,94,71.343534
0.0,87,71.712143
-4.0,72,71.866356
0.0,72,72.013677
0.0,72,72.368034
-10.0,94,72.577638
-4.0,58,72.689564
-4.0,80,72.855502
-4.0,65,73.17583
0.0,58,73.291317
-3.0,94,73.475799
0.0,58,73.78741
-4.0,65,73.928313
-3.0,94,74.127448
1.0,65,74.261232
4.0,58,74.568912
1.0,94,74.751711
0.0,65,74.888735
0.0,44,74.977534
-3.0,94,75.355388
-7.0,72,75.516825
-3.0,87,75.695804
-4.0,51,76.004297
-3.0,80,76.163047
0.0,58,76.277351
1.0,80,76.437245
0.0,144,76.925951
0.0,44,77.01316
-3.0,65,77.14633
0.0,108,77.558003
-4.0,51,77.656575
-4.0,65,77.788421
-8.0,51,78.092749
1.0,65,78.225567
0.0,44,78.313747
-4.0,80,78.469156
-4.0,51,78.578542
0.0,72,78.922881
-3.0,51,79.024855
0.0,65,79.158441
2.0,144,79.647174
-3.0,58,79.762403
0.0,65,79.894297
-4.0,44,79.992903
0.0,65,80.316515
-3.0,87,80.494232
2.0,65,80.6293
2.0,87,81.008685
2.0,101,81.226277
0.0,80,81.396876
-3.0,80,81.761837
-4.0,51,81.868455
-6.0,137,82.166069
1.0,108,82.599045
1.0,65,82.736591
1.0,44,82.833723
-4.0,65,82.964703
-3.0,65,83.300557
1.0,87,83.480703
0.0,80,83.640144
-3.0,72,83.976318
-4.0,44,84.072641
1.0,72,84.216999
2.0,51,84.314724
0.0,58,84.627219
0.0,72,84.771637
