#{"t_start": 1620411457.1608877, "env_id": "procgen-fruitbot-v0"}
r,l,t
0.0,58,1.116171
-4.0,88,1.54127
-4.0,80,1.678189
-3.0,94,1.913789
0.0,80,2.124978
-8.0,80,2.253616
-12.0,108,2.51876
-12.0,108,2.772667
0.0,58,2.86503
-8.0,87,3.095209
-4.0,72,3.294678
0.0,49,3.37917
1.0,94,3.667653
-12.0,108,3.944008
0.0,72,4.055017
0.0,72,4.247983
0.0,86,4.393231
2.0,94,4.627063
0.0,80,4.83492
-4.0,58,4.921278
1.0,51,5.080046
1.0,94,5.226598
2.0,209,5.733202
1.0,95,6.005035
0.0,58,6.096994
0.0,108,6.386172
1.0,51,6.46949
-4.0,80,6.686268
0.0,51,6.768993
0.0,80,6.986341
-4.0,44,7.05655
1.0,94,7.282219
0.0,80,7.504742
0.0,80,7.639799
-7.0,109,7.890126
0.0,80,8.098662
-4.0,102,8.409366
1.0,51,8.49057
-3.0,44,8.556737
0.0,62,8.73626
0.0,80,8.941567
-7.0,137,9.247419
-3.0,95,9.404594
0.0,80,9.614513
0.0,80,9.817593
0.0,44,9.884997
0.0,80,10.087494
0.0,53,10.167834
0.0,80,10.386335
0.0,58,10.537182
0.0,58,10.635265
-3.0,94,10.878479
1.0,51,11.04251
-4.0,62,11.168736
-3.0,94,11.42301
-3.0,108,11.68632
-4.0,51,11.767802
0.0,80,11.974039
-4.0,72,12.084486
0.0,80,12.293358
0.0,130,12.591617
-3.0,94,12.863994
-4.0,51,12.944831
-4.0,72,13.167043
1.0,51,13.24434
2.0,94,13.496026
0.0,80,13.630173
0.0,59,13.807518
0.0,82,13.939536
-8.0,108,14.185911
0.0,80,14.393632
-4.0,81,14.607229
-4.0,72,14.712233
0.0,80,14.913538
0.0,80,15.041009
-3.0,108,15.339247
1.0,51,15.509107
-4.0,72,15.625056
0.0,80,15.830436
0.0,58,15.919871
1.0,51,16.083019
-4.0,94,16.240464
-4.0,94,16.490337
-4.0,80,16.700404
0.0,51,16.776586
0.0,58,16.948238
-4.0,72,17.057253
-7.0,44,17.209789
0.0,80,17.343633
0.0,80,17.580664
-4.0,51,17.661613
-8.0,44,17.732935
-4.0,72,17.921013
0.0,80,18.119866
0.0,80,18.243862
-4.0,51,18.404514
1.0,94,18.564473
-3.0,72,18.755093
0.0,180,19.103871
-7.0,123,19.376726
0.0,58,19.564283
-4.0,72,19.692398
0.0,80,19.903195
0.0,80,20.114083
-4.0,80,20.238545
-8.0,108,20.490634
0.0,67,20.68395
0.0,80,20.805871
-4.0,51,20.967447
-4.0,51,21.04867
0.0,80,21.288852
0.0,130,21.599102
-4.0,94,21.745297
-4.0,51,21.942067
-4.0,51,22.031524
0.0,80,22.248097
-3.0,108,22.505462
0.0,80,22.65471
-4.0,51,22.817994
0.0,80,22.939013
2.0,137,23.234164
-8.0,44,23.385047
1.0,111,23.649552
0.0,80,23.778712
-4.0,58,23.953596
0.0,80,24.081928
0.0,23,110.010331
0.0,51,110.097889
0.0,65,110.489601
-7.0,137,110.785171
1.0,94,110.92801
0.0,80,111.139188
0.0,80,111.363183
0.0,49,111.442435
-3.0,123,111.709903
-4.0,72,111.904228
1.0,51,111.986402
2.0,80,112.199792
1.0,94,112.355622
0.0,87,112.577809
-8.0,44,112.641163
-3.0,112,112.896956
-7.0,108,113.147037
-4.0,80,113.389825
2.0,80,113.513672
1.0,51,113.674135
-4.0,80,113.793202
1.0,80,113.99222
0.0,51,114.070619
1.0,51,114.2303
1.0,80,114.352808
